Provinsi,Kode_Kab,Kabupaten_Kota,Bulan,Luas_Panen
JAWA TENGAH,3325.0,BATANG,Januari,1098.91
JAWA TENGAH,3326.0,PEKALONGAN,Januari,687.5799999999999
JAWA TENGAH,3327.0,PEMALANG,Januari,2991.01
JAWA TENGAH,3328.0,TEGAL,Januari,953.01
JAWA TENGAH,3329.0,BREBES,Januari,932.1299999999999
JAWA TENGAH,3371.0,MAGELANG,Januari,10.1
JAWA TENGAH,3372.0,SURAKARTA,Januari,0.99
JAWA TENGAH,3373.0,SALATIGA,Januari,21.95
JAWA TENGAH,3374.0,SEMARANG,Januari,86.72999999999999
JAWA TENGAH,3375.0,PEKALONGAN,Januari,0.0
JAWA TENGAH,3376.0,TEGAL,Januari,16.83
DI YOGYAKARTA,3401.0,KULON PROGO,Januari,2405.48
DI YOGYAKARTA,3402.0,BANTUL,Januari,1524.7500000000005
DI YOGYAKARTA,3403.0,GUNUNG KIDUL,Januari,28.79
DI YOGYAKARTA,3404.0,SLEMAN,Januari,308.0
DI YOGYAKARTA,3471.0,YOGYAKARTA,Januari,3.54
JAWA TIMUR,3501.0,PACITAN,Januari,61.91
JAWA TIMUR,3502.0,PONOROGO,Januari,2952.86
JAWA TIMUR,3503.0,TRENGGALEK,Januari,317.75
JAWA TIMUR,3504.0,TULUNGAGUNG,Januari,1286.68
JAWA TIMUR,3505.0,BLITAR,Januari,682.25
JAWA TIMUR,3506.0,KEDIRI,Januari,789.56
JAWA TIMUR,3507.0,MALANG,Januari,2942.41
JAWA TIMUR,3508.0,LUMAJANG,Januari,2837.91
JAWA TIMUR,3509.0,JEMBER,Januari,5977.740000000001
JAWA TIMUR,3510.0,BANYUWANGI,Januari,3431.66
JAWA TIMUR,3511.0,BONDOWOSO,Januari,2471.54
JAWA TIMUR,3512.0,SITUBONDO,Januari,1404.05
JAWA TIMUR,3513.0,PROBOLINGGO,Januari,1118.5200000000002
JAWA TIMUR,3514.0,PASURUAN,Januari,2687.5600000000004
JAWA TIMUR,3515.0,SIDOARJO,Januari,798.17
JAWA TIMUR,3516.0,MOJOKERTO,Januari,933.31
JAWA TIMUR,3517.0,JOMBANG,Januari,900.65
JAWA TIMUR,3518.0,NGANJUK,Januari,744.71
JAWA TIMUR,3519.0,MADIUN,Januari,1379.16
